id,name,position,team,bye_week,adp,pass_yd,pass_td,pass_int,pass_2pt,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fumbles,pat_made,fg_miss,fg_0_39,fg_40_49,fg_50_59,fg_60_plus,sack,blk_kick,def_int,fumble_recovery,safety,krt_td,prt_td,int_ret_td,fum_ret_td,blk_kick_ret_td,two_pt_ret,one_pt_safety
sleeper:PHI,Philadelphia Eagles,DST,PHI,9,115.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,15.0,10.0,0,0,0,0,0,0,0,0
sleeper:9754,Quentin Johnston,WR,LAC,,116.1,0,0,0,0,11.0,0,0,58.0,748.0,5.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:421,Matthew Stafford,QB,LAR,,116.7,4033.0,32.0,11.0,2.0,19.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:1479,Keenan Allen,WR,FA,,119.2,0,0,0,0,0,0,0,38.0,390.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8131,Isaiah Likely,TE,NYG,,120.5,0,0,0,0,0,0,0,59.0,622.0,5.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:BAL,Baltimore Ravens,DST,BAL,7,121.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,1.0,14.0,10.0,0,0,0,0,0,0,0,0
sleeper:12484,Jayden Higgins,WR,HOU,6,121.9,0,0,0,0,6.0,0,0,57.0,761.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:13286,Jadarian Price,RB,,,123.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8121,Romeo Doubs,WR,NE,,123.4,0,0,0,0,0,0,0,60.0,781.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:9758,C.J. Stroud,QB,HOU,6,124.2,3405.0,20.0,12.0,1.0,220.0,2.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:10222,Jayden Reed,WR,GB,,125.2,0,0,0,0,68.0,0,0,58.0,730.0,5.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:6804,Jordan Love,QB,GB,5,125.8,3808.0,28.0,10.0,1.0,202.0,2.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:PIT,Pittsburgh Steelers,DST,PIT,5,126.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,12.0,9.0,0,0,0,0,0,0,0,0
sleeper:9225,Tank Bigsby,RB,PHI,9,127.4,0,0,0,0,336.0,2.0,0,8.0,56.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:12474,Woody Marks,RB,HOU,,127.8,0,0,0,0,351.0,2.0,0,19.0,137.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:GB,Green Bay Packers,DST,GB,5,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,12.0,9.0,0,0,0,0,0,0,0,0
sleeper:11603,AJ Barner,TE,SEA,,132.6,0,0,0,0,14.0,1.0,0,58.0,530.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8143,Jerome Ford,RB,WAS,12,134.6,0,0,0,0,124.0,1.0,0,12.0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:13337,Emmett Johnson,RB,,,135.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:5844,T.J. Hockenson,TE,MIN,,136.3,0,0,0,0,0,0,0,59.0,587.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4033,David Njoku,TE,CLE,,138.1,0,0,0,0,0,0,0,39.0,384.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:13298,KC Concepcion,WR,,,138.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4988,Nick Chubb,RB,FA,,138.3,0,0,0,0,138.0,1.0,0,5.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:11589,Trey Benson,RB,ARI,8,138.5,0,0,0,0,150.0,1.0,0,7.0,51.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8161,Malik Willis,QB,MIA,,139.7,2712.0,16.0,9.0,0,633.0,5.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:6803,Brandon Aiyuk,WR,SF,14,140.2,0,0,0,0,7.0,0,0,45.0,591.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4018,Joe Mixon,RB,FA,,140.2,0,0,0,0,138.0,1.0,0,5.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:HOU,Houston Texans,DST,HOU,6,140.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,16.0,11.0,0,0,1.0,0,0,0,0,0
sleeper:11646,Jalen Coker,WR,CAR,,140.9,0,0,0,0,6.0,0,0,59.0,738.0,5.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:13345,Jonah Coleman,RB,,,141.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:MIN,Minnesota Vikings,DST,MIN,6,142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,12.0,10.0,0,0,1.0,0,0,0,0,0
sleeper:9500,Josh Downs,WR,IND,,142.6,0,0,0,0,12.0,0,0,67.0,734.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:12495,Ollie Gordon,RB,MIA,12,142.7,0,0,0,0,120.0,1.0,0,3.0,22.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:9508,Tyjae Spears,RB,TEN,,145.6,0,0,0,0,306.0,2.0,0,27.0,196.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:11576,Braelon Allen,RB,NYJ,9,145.7,0,0,0,0,245.0,2.0,0,10.0,73.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:12545,Tyler Shough,QB,NO,,146.4,3525.0,21.0,12.0,1.0,330.0,3.0,1.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:6865,Colby Parkinson,TE,LAR,,146.8,0,0,0,0,0,0,0,35.0,344.0,3.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8136,Rachaad White,RB,WAS,,146.9,0,0,0,0,405.0,3.0,0,29.0,20.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8210,Chig Okonkwo,TE,WAS,,147.1,0,0,0,0,0,0,0,46.0,447.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:12498,Mason Taylor,TE,NYJ,,148.1,0,0,0,0,0,0,0,55.0,539.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:LAR,Los Angeles Rams,DST,LAR,8,150.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,14.0,10.0,0,0,0,0,0,0,0,0
sleeper:13349,Eli Stowers,TE,,,150.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
